SrcAddr,Sport,DstAddr,Dport,DstLoad,SrcPkts,SrcBytes,DstLoss,DstBytes,sMeanPktSz,SrcLoad,dMeanPktSz,Rate
192.168.1.96,49874,18.202.131.124,https,62367.363281,12,1950,0,5057,162.500000,24053.677734,421.416656,38.676914
192.168.1.96,36706,52.30.58.64,https,27765.953125,16,2601,0,6922,162.562500,10434.693359,432.625000,16.578285
192.168.1.96,41355,151.101.0.176,https,1351199.000000,191,29452,0,485267,154.198959,81786.125000,1231.642090,203.781387
192.168.1.96,36714,34.241.202.139,https,18993.669922,19,3058,0,12819,160.947372,4580.101074,801.187500,6.716850
192.168.1.96,38802,192.168.1.1,domain,0.000000,1,83,0,145,83.000000,0.000000,145.000000,13.549218
192.168.1.96,59440,192.168.1.1,domain,0.000000,1,83,0,181,83.000000,0.000000,181.000000,11.407191
192.168.1.96,56643,192.168.1.1,domain,0.000000,1,86,0,192,86.000000,0.000000,192.000000,10.243908
192.168.1.96,58724,192.168.1.1,domain,0.000000,1,86,0,212,86.000000,0.000000,212.000000,11.316186
192.168.1.96,33906,192.168.1.1,domain,0.000000,1,81,0,165,81.000000,0.000000,165.000000,0.581197
192.168.1.96,38202,54.187.119.242,https,29443.603516,11,2646,0,4514,240.545456,17435.714844,451.399994,18.116911
192.168.1.96,58354,192.168.1.1,domain,0.000000,1,99,0,186,99.000000,0.000000,186.000000,5.197586
192.168.1.96,40820,108.139.229.25,https,848797.437500,34,4125,0,56780,121.323532,61279.933594,1320.465088,145.394440
192.168.1.96,38204,54.187.119.242,https,31234.212891,7,1080,0,3422,154.285721,10141.262695,570.333313,16.427532
192.168.1.96,59713,192.168.1.1,domain,0.000000,1,83,0,115,83.000000,0.000000,115.000000,18.965975
192.168.1.96,37378,192.168.1.1,domain,0.000000,1,83,0,120,83.000000,0.000000,120.000000,18.013474
192.168.1.96,36010,104.16.169.131,https,925629.312500,123,9945,0,194753,80.853661,47244.554688,1475.401489,152.054199
192.168.1.96,45123,192.168.1.1,domain,0.000000,1,85,0,101,85.000000,0.000000,101.000000,7.951085
192.168.1.96,39533,192.168.1.1,domain,0.000000,1,85,0,135,85.000000,0.000000,135.000000,6.462035
192.168.1.96,52963,192.168.1.1,domain,0.000000,1,102,0,159,102.000000,0.000000,159.000000,7.011148
192.168.1.96,49666,64.233.184.92,https,677115.187500,30,3836,1,49240,127.866669,52381.273438,1295.789429,118.278015
192.168.1.96,51446,172.217.19.138,https,52756.925781,18,2687,1,10006,149.277771,14085.533203,500.299988,25.668081
192.168.1.96,49682,64.233.184.92,https,169213.250000,9,1193,0,8362,132.555557,25046.771484,1194.571411,44.262672
192.168.1.96,46137,192.168.1.1,domain,0.000000,1,81,0,97,81.000000,0.000000,97.000000,13.716857
192.168.1.96,46920,192.168.1.1,domain,0.000000,1,81,0,106,81.000000,0.000000,106.000000,13.739284
192.168.1.96,49059,192.168.1.1,domain,0.000000,1,85,0,135,85.000000,0.000000,135.000000,9.437434
192.168.1.96,49698,64.233.184.92,https,279217.000000,20,3291,0,18633,164.550003,49614.250000,1035.166626,73.382126
192.168.1.96,51719,142.251.37.46,https,103959.500000,9,2183,0,3378,242.555557,67194.601562,375.333344,73.564415
192.168.1.96,46427,142.251.37.196,https,62154.238281,12,3724,0,8372,310.333344,27155.691406,558.133362,25.851200
192.168.1.96,56047,192.168.1.1,domain,0.000000,1,85,0,135,85.000000,0.000000,135.000000,11.007397
192.168.1.96,49712,64.233.184.92,https,139700.765625,25,3137,1,14086,125.480003,30978.332031,503.071442,66.852310
192.168.1.96,51120,192.168.1.1,domain,0.000000,1,93,0,125,93.000000,0.000000,125.000000,19.066868
192.168.1.96,57900,192.168.1.1,domain,0.000000,1,93,0,130,93.000000,0.000000,130.000000,18.053801
192.168.1.96,55503,192.168.1.1,domain,0.000000,1,93,0,109,93.000000,0.000000,109.000000,12.765523
192.168.1.96,32815,64.233.184.92,https,2484352.250000,127,13144,0,425333,103.496063,76399.875000,1269.650757,337.592438
192.168.1.96,43023,192.168.1.1,domain,0.000000,1,93,0,143,93.000000,0.000000,143.000000,6.675879
192.168.1.96,49363,192.168.1.1,domain,0.000000,1,86,0,102,86.000000,0.000000,102.000000,25.088436
192.168.1.96,53006,192.168.1.1,domain,0.000000,1,86,0,143,86.000000,0.000000,143.000000,13.386343
192.168.1.96,58312,142.250.13.81,https,250007.671875,12,1403,0,10100,116.916664,35042.460938,918.181824,74.877052
192.168.1.96,32996,172.217.171.195,https,1509558.875000,68,7958,0,121749,117.029411,98337.164062,1383.511353,242.989746
192.168.1.96,49067,104.16.169.131,https,101317.031250,14,7754,0,5476,553.857117,142108.296875,342.250000,71.537643
192.168.1.96,54611,192.168.1.1,domain,0.000000,1,102,0,159,102.000000,0.000000,159.000000,5.695507
192.168.1.96,33302,142.251.37.234,https,171467.468750,13,2132,1,7223,164.000000,50305.300781,515.928589,83.075317
192.168.1.96,59962,64.233.184.92,https,78437.406250,15,2827,0,10467,188.466660,20816.201172,523.349976,33.523628
192.168.1.96,56091,172.217.19.138,https,165687.937500,7,3100,0,7982,442.857147,62062.929688,886.888916,43.780285
192.168.1.96,39590,172.217.171.195,https,62148.089844,9,3694,0,8189,410.444458,27187.201172,682.416687,20.696712
192.168.1.96,51709,192.168.1.1,domain,0.000000,1,86,0,136,86.000000,0.000000,136.000000,10.403337
192.168.1.96,54744,172.217.19.46,https,233250.765625,21,3197,1,14379,152.238098,51222.312500,513.535706,100.930664
192.168.1.96,54752,172.217.19.46,https,0.000000,2,128,0,74,64.000000,1964.357666,74.000000,7.673272
192.168.1.96,54766,172.217.19.46,https,147793.687500,9,1059,0,7242,117.666664,22426.167969,1034.571411,44.638077
192.168.1.96,54770,172.217.19.46,https,149816.062500,10,1113,0,7307,111.300003,23477.587891,913.375000,49.790295
192.168.1.96,54784,172.217.19.46,https,149904.203125,10,1113,0,7309,111.300003,23484.052734,913.625000,49.804005
192.168.1.96,54788,172.217.19.46,https,112149.773438,10,1642,0,7319,164.199997,25879.371094,914.875000,37.208160
192.168.1.96,52422,192.168.1.1,domain,0.000000,1,86,0,143,86.000000,0.000000,143.000000,9.778899
192.168.1.96,33008,172.217.171.195,https,121659.351562,13,2103,0,7778,161.769226,32905.632812,598.307678,52.950623
192.168.1.96,57432,192.168.1.1,domain,0.000000,1,87,0,189,87.000000,0.000000,189.000000,13.130080
192.168.1.96,42994,192.168.1.1,domain,0.000000,1,87,0,211,87.000000,0.000000,211.000000,13.154779
192.168.1.96,57695,192.168.1.1,domain,0.000000,1,100,0,181,100.000000,0.000000,181.000000,3.871332
192.168.1.96,59830,151.101.0.176,https,357088.906250,22,2832,0,23579,128.727280,42656.320312,943.159973,90.707779
192.168.1.96,57011,172.217.19.46,https,220332.750000,28,11652,0,12738,416.142853,200231.218750,374.647064,135.881363
192.168.1.96,59838,151.101.0.176,https,131565.421875,7,1051,0,5103,150.142853,27872.193359,850.500000,46.402100
192.168.1.96,55110,142.250.201.10,https,0.000000,2,132,0,66,66.000000,15166.312500,66.000000,57.448154
192.168.1.96,32821,192.168.1.1,domain,0.000000,1,83,0,211,83.000000,0.000000,211.000000,24.679781
192.168.1.96,38132,192.168.1.1,domain,0.000000,1,83,0,167,83.000000,0.000000,167.000000,15.892944
192.168.1.96,38152,34.213.79.103,https,51934.339844,18,10618,0,7917,589.888916,69650.914062,439.833344,30.384159
192.168.1.96,38156,34.213.79.103,https,33186.394531,7,1092,0,4099,156.000000,9093.227539,683.166687,14.572480
192.168.1.96,51090,54.186.23.98,https,27944.771484,16,13928,0,3318,870.500000,116063.242188,174.631577,37.775215
192.168.1.96,36714,34.241.202.139,https,16633.875000,2,167,0,1340,83.500000,1390.294067,335.000000,10.344450
192.168.1.96,41355,151.101.0.176,https,13099.006836,6,1575,0,4222,262.500000,4752.416504,603.142883,5.429265
